"","Month","Site","Survey","Severity"
"1","2022_December","SB","SB01",26
"2","2022_December","EB","EB11",4
"3","2022_December","EB","EB07",28
"4","2021_April","EB","EB0",14
"5","2021_April","EB","EB11",6
"6","2021_April","EB","EB11",25
"7","2022_April","SB","SB01",8
"8","2022_September","SB","SB04",5
"9","2022_April","EB","EB06",70
"10","2022_April","EB","EB06",36
"11","2022_April","EB","EB06",20
"12","2022_April","EB","EB06",25
"13","2022_April","EB","EB06",29
"14","2022_April","EB","EB06",19
"15","2022_April","EB","EB07",20
"16","2023_April","SB","SB01",15
"17","2023_April","SB","SB01",10
